participant_id,condition,session_id,window_start_sec,window_end_sec,score,state,action,action_changed,pupil_valid_frac,gaze_valid_frac,blink_rate_per_min,n_samples_window
ID01,dual,ID01_ET_0,0.0,10.0,0.5075490373965443,MEDIUM,REDUCE_CLUTTER,True,0.9195402298850575,0.9195402298850575,18.0,609
ID01,dual,ID01_ET_0,1.0,11.0,0.4950989693376402,MEDIUM,REDUCE_CLUTTER,False,0.9064039408866995,0.9064039408866995,24.0,609
ID01,dual,ID01_ET_0,2.0,12.0,0.5026783584478048,MEDIUM,REDUCE_CLUTTER,False,0.8949096880131363,0.8949096880131363,24.0,609
ID01,dual,ID01_ET_0,3.0,13.0,0.48144912969083675,MEDIUM,REDUCE_CLUTTER,False,0.8686371100164204,0.8686371100164204,30.0,609
ID01,dual,ID01_ET_0,4.0,14.0,0.4860960400199036,MEDIUM,REDUCE_CLUTTER,False,0.8423645320197044,0.8423645320197044,36.0,609
ID01,dual,ID01_ET_0,5.0,15.0,0.487018004783225,MEDIUM,REDUCE_CLUTTER,False,0.8669950738916257,0.8669950738916257,30.0,609
ID01,dual,ID01_ET_0,6.0,16.0,0.4875186208479451,MEDIUM,REDUCE_CLUTTER,False,0.8717105263157895,0.8717105263157895,30.0,608
ID01,dual,ID01_ET_0,7.0,17.0,0.4876366985350723,MEDIUM,REDUCE_CLUTTER,False,0.8486842105263158,0.8486842105263158,36.0,608
ID01,dual,ID01_ET_0,8.0,18.0,0.49271976312156446,MEDIUM,REDUCE_CLUTTER,False,0.8489326765188834,0.8489326765188834,36.0,609
ID01,dual,ID01_ET_0,9.0,19.0,0.49994920969424206,MEDIUM,REDUCE_CLUTTER,False,0.8669950738916257,0.8669950738916257,36.0,609
ID01,dual,ID01_ET_0,10.0,20.0,0.5012097249375573,MEDIUM,REDUCE_CLUTTER,False,0.8522167487684729,0.8522167487684729,36.0,609
ID01,dual,ID01_ET_0,11.0,21.0,0.5024162222937626,MEDIUM,REDUCE_CLUTTER,False,0.8653530377668309,0.8653530377668309,36.0,609
ID01,dual,ID01_ET_0,12.0,22.0,0.47967399370659997,MEDIUM,REDUCE_CLUTTER,False,0.8522167487684729,0.8522167487684729,36.0,609
ID01,dual,ID01_ET_0,13.0,23.0,0.4792071517999032,MEDIUM,REDUCE_CLUTTER,False,0.8784893267651889,0.8784893267651889,36.0,609
ID01,dual,ID01_ET_0,14.0,24.0,0.4773938806795629,MEDIUM,REDUCE_CLUTTER,False,0.8782894736842105,0.8782894736842105,30.0,608
ID01,dual,ID01_ET_0,15.0,25.0,0.48065082823620003,MEDIUM,REDUCE_CLUTTER,False,0.8782894736842105,0.8782894736842105,30.0,608
ID01,dual,ID01_ET_0,16.0,26.0,0.47775914894266125,MEDIUM,REDUCE_CLUTTER,False,0.8817733990147784,0.8817733990147784,30.0,609
ID01,dual,ID01_ET_0,17.0,27.0,0.48639451975951586,MEDIUM,REDUCE_CLUTTER,False,0.8998357963875205,0.8998357963875205,24.0,609
ID01,dual,ID01_ET_0,18.0,28.0,0.5125192231489829,MEDIUM,REDUCE_CLUTTER,False,0.8998357963875205,0.8998357963875205,24.0,609
ID01,dual,ID01_ET_0,19.0,29.0,0.4987293192031928,MEDIUM,REDUCE_CLUTTER,False,0.9080459770114943,0.9080459770114943,24.0,609
ID01,dual,ID01_ET_0,20.0,30.0,0.4891177056718931,MEDIUM,REDUCE_CLUTTER,False,0.8949096880131363,0.8949096880131363,24.0,609
ID01,dual,ID01_ET_0,21.0,31.0,0.4825693959344418,MEDIUM,REDUCE_CLUTTER,False,0.8947368421052632,0.8947368421052632,24.0,608
ID01,dual,ID01_ET_0,22.0,32.0,0.47618208461077804,MEDIUM,REDUCE_CLUTTER,False,0.8898026315789473,0.8898026315789473,24.0,608
ID01,dual,ID01_ET_0,23.0,33.0,0.4727903975219682,MEDIUM,REDUCE_CLUTTER,False,0.8898026315789473,0.8898026315789473,24.0,608
ID01,dual,ID01_ET_0,24.0,34.0,0.47378418112644544,MEDIUM,REDUCE_CLUTTER,False,0.9047619047619048,0.9047619047619048,24.0,609
ID01,dual,ID01_ET_0,25.0,35.0,0.4679041108083125,MEDIUM,REDUCE_CLUTTER,False,0.8916256157635468,0.8916256157635468,24.0,609
ID01,dual,ID01_ET_0,26.0,36.0,0.4671477478674563,MEDIUM,REDUCE_CLUTTER,False,0.9129720853858785,0.9129720853858785,24.0,609
ID01,dual,ID01_ET_0,27.0,37.0,0.46530411016258266,MEDIUM,REDUCE_CLUTTER,False,0.9178981937602627,0.9178981937602627,18.0,609
ID01,dual,ID01_ET_0,28.0,38.0,0.4536251889874614,MEDIUM,REDUCE_CLUTTER,False,0.8899835796387521,0.8899835796387521,24.0,609
ID01,dual,ID01_ET_0,29.0,39.0,0.45865263762322256,MEDIUM,REDUCE_CLUTTER,False,0.8898026315789473,0.8898026315789473,24.0,608
ID01,dual,ID01_ET_0,30.0,40.0,0.4598218976291659,MEDIUM,REDUCE_CLUTTER,False,0.9029605263157895,0.9029605263157895,24.0,608
ID01,dual,ID01_ET_0,31.0,41.0,0.4569733545141255,MEDIUM,REDUCE_CLUTTER,False,0.8883415435139573,0.8883415435139573,24.0,609
ID01,dual,ID01_ET_0,32.0,42.0,0.459372136629945,MEDIUM,REDUCE_CLUTTER,False,0.9178981937602627,0.9178981937602627,18.0,609
ID01,dual,ID01_ET_0,33.0,43.0,0.4536248012986439,MEDIUM,REDUCE_CLUTTER,False,0.8883415435139573,0.8883415435139573,24.0,609
ID01,dual,ID01_ET_0,34.0,44.0,0.4631857927909756,MEDIUM,REDUCE_CLUTTER,False,0.8998357963875205,0.8998357963875205,24.0,609
ID01,dual,ID01_ET_0,35.0,45.0,0.4617708805284526,MEDIUM,REDUCE_CLUTTER,False,0.9129720853858785,0.9129720853858785,18.0,609
ID01,dual,ID01_ET_0,36.0,46.0,0.4536432614574025,MEDIUM,REDUCE_CLUTTER,False,0.8883415435139573,0.8883415435139573,24.0,609
ID01,dual,ID01_ET_0,37.0,47.0,0.45045767411788934,MEDIUM,REDUCE_CLUTTER,False,0.8881578947368421,0.8881578947368421,24.0,608
ID01,dual,ID01_ET_0,38.0,48.0,0.44830143324862026,MEDIUM,REDUCE_CLUTTER,False,0.90625,0.90625,24.0,608
ID01,dual,ID01_ET_0,39.0,49.0,0.4466473435726812,MEDIUM,REDUCE_CLUTTER,False,0.8883415435139573,0.8883415435139573,24.0,609
ID01,dual,ID01_ET_0,40.0,50.0,0.4498710997694233,MEDIUM,REDUCE_CLUTTER,False,0.90311986863711,0.90311986863711,24.0,609
ID01,dual,ID01_ET_0,41.0,51.0,0.452785371119296,MEDIUM,REDUCE_CLUTTER,False,0.9178981937602627,0.9178981937602627,18.0,609
ID01,dual,ID01_ET_0,42.0,52.0,0.4509838004684686,MEDIUM,REDUCE_CLUTTER,False,0.9178981937602627,0.9178981937602627,18.0,609
ID01,dual,ID01_ET_0,43.0,53.0,0.4400776220546874,MEDIUM,REDUCE_CLUTTER,False,0.922824302134647,0.922824302134647,18.0,609
ID01,dual,ID01_ET_0,44.0,54.0,0.44817819334966746,MEDIUM,REDUCE_CLUTTER,False,0.922824302134647,0.922824302134647,18.0,609
ID01,dual,ID01_ET_0,45.0,55.0,0.4624093029007802,MEDIUM,REDUCE_CLUTTER,False,0.899671052631579,0.899671052631579,24.0,608
ID01,dual,ID01_ET_0,46.0,56.0,0.4805364714877006,MEDIUM,REDUCE_CLUTTER,False,0.8963815789473685,0.8963815789473685,24.0,608
ID01,dual,ID01_ET_0,47.0,57.0,0.48133720595671015,MEDIUM,REDUCE_CLUTTER,False,0.896551724137931,0.896551724137931,24.0,609
ID01,dual,ID01_ET_0,48.0,58.0,0.48316020973434587,MEDIUM,REDUCE_CLUTTER,False,0.9064039408866995,0.9064039408866995,24.0,609
ID01,dual,ID01_ET_0,49.0,59.0,0.48310855493696864,MEDIUM,REDUCE_CLUTTER,False,0.896551724137931,0.896551724137931,24.0,609
ID01,dual,ID01_ET_0,50.0,60.0,0.4801878309415292,MEDIUM,REDUCE_CLUTTER,False,0.896551724137931,0.896551724137931,24.0,609
ID01,dual,ID01_ET_0,51.0,61.0,0.47271915930354774,MEDIUM,REDUCE_CLUTTER,False,0.8456486042692939,0.8456486042692939,36.0,609
ID01,dual,ID01_ET_0,52.0,62.0,0.4715730166110254,MEDIUM,REDUCE_CLUTTER,False,0.8453947368421053,0.8453947368421053,36.0,608
ID01,dual,ID01_ET_0,53.0,63.0,0.4695926433459622,MEDIUM,REDUCE_CLUTTER,False,0.8700657894736842,0.8700657894736842,30.0,608
ID01,dual,ID01_ET_0,54.0,64.0,0.45401208959562495,MEDIUM,REDUCE_CLUTTER,False,0.84375,0.84375,36.0,608
ID01,dual,ID01_ET_0,55.0,65.0,0.45069756676427486,MEDIUM,REDUCE_CLUTTER,False,0.8669950738916257,0.8669950738916257,30.0,609
ID01,dual,ID01_ET_0,56.0,66.0,0.44337389013391326,MEDIUM,REDUCE_CLUTTER,False,0.8949096880131363,0.8949096880131363,24.0,609
ID01,dual,ID01_ET_0,57.0,67.0,0.4328033060769303,MEDIUM,REDUCE_CLUTTER,False,0.8719211822660099,0.8719211822660099,30.0,609
ID01,dual,ID01_ET_0,58.0,68.0,0.44106316760211056,MEDIUM,REDUCE_CLUTTER,False,0.8653530377668309,0.8653530377668309,30.0,609
ID01,dual,ID01_ET_0,59.0,69.0,0.44459918766362255,MEDIUM,REDUCE_CLUTTER,False,0.8768472906403941,0.8768472906403941,30.0,609
